ed_id,ed_name,ed_target,ed_institution,ed_period
1,"컴퓨터 활용능력 1급 필기",장애인,"한국 장애인 고용공단",상시
2,스프레드시트,장애인,"한국 장애인 고용공단",상시
3,"컴퓨터 일반",장애인,"한국 장애인 고용공단",상시
4,"스프레드시트 실무",장애인,"한국 장애인 고용공단",상시
5,"데이터베이스 실무",장애인,"한국 장애인 고용공단",상시
6," 게임 캐릭터 모델링 프로세싱",장애인,"한국 장애인 고용공단",상시
7,"임베디드스마트 직무강좌",장애인,"한국 장애인 고용공단",상시
8,"유니티로 애니메이션 제작하기",장애인,"한국 장애인 고용공단",상시
9,"워드프로세서 필기",장애인,"한국 장애인 고용공단",상시
10,"워드프로세서 실기",장애인,"한국 장애인 고용공단",상시
11,"리얼한 콘텐츠 엔진 활용법",장애인,"한국 장애인 고용공단",상시
12,"VR영화 속 인터랙티브 스토리텔링",장애인,"한국 장애인 고용공단",상시
13,"ITQ 한글 2016(NEO) 이론",장애인,"한국 장애인 고용공단",상시
14,"ITQ 파워포인트 2016 이론",장애인,"한국 장애인 고용공단",상시
15,"ITQ 엑셀 2016 이론",장애인,"한국 장애인 고용공단",상시
16,"C# 프로그래밍",장애인,"한국 장애인 고용공단",상시
17,"Adobe Premiere Pro CC 2020 완전정복",장애인,"한국 장애인 고용공단",상시
18,"AI를 적용한 사운드 콘텐츠 알아보기",장애인,"한국 장애인 고용공단",상시
19,"프리미어프로CC 영상편집과정",청각장애인,"한국 장애인 고용공단",상시
20,NCS직무특강-시각디자인,청각장애인,"한국 장애인 고용공단",상시
21,"Excel2019 실무 심화",청각장애인,"한국 장애인 고용공단",상시
22,"Excel2019 실무 기초",청각장애인,"한국 장애인 고용공단",상시
23,"2020제빵기능사 실기",청각장애인,"한국 장애인 고용공단",상시
24,"2020제과기능사 실기",청각장애인,"한국 장애인 고용공단",상시
25,"네일아트자격증 실기",청각장애인,"한국 장애인 고용공단",상시
26,"빅데이터분석 스마트 직무강좌",장애인,"한국 장애인 고용공단",상시
27,"디지털 디자인 스마트 직무강좌",장애인,"한국 장애인 고용공단",상시
28,"NCS 3D 프린터용 제품제작",장애인,"한국 장애인 고용공단",상시
29,"After Effects CC2018 입문 part.2",장애인,"한국 장애인 고용공단",상시
30,"소형무인기 운용 조종 스마트 직무강좌",청각장애인,"한국 장애인 고용공단",상시
31,"빅데이터분석 스마트 직무강좌",청각장애인,"한국 장애인 고용공단",상시
32,"디지털 디자인 스마트 직무강좌",청각장애인,"한국 장애인 고용공단",상시
33,"기초 PYTHON 프로그래밍",장애인,"한국 장애인 고용공단",상시
34,SNS마케팅,장애인,"한국 장애인 고용공단",상시
35,"NCS 3D 프린터용 제품제작",장애인,"한국 장애인 고용공단",상시
36,"After Effects CC2018 입문 part.2",청각장애인,"한국 장애인 고용공단",상시
37,"After Effects CC2018 입문 part.1	",청각장애인,"한국 장애인 고용공단",상시
38,"After Effects CC2018 입문 part.2",장애인,"한국 장애인 고용공단",상시
39,"After Effects CC2018 입문 part.2",장애인,"한국 장애인 고용공단",상시
40,"After Effects CC2018 입문 part.2",장애인,"한국 장애인 고용공단",상시
41,"소형무인기 운용 조종 스마트 직무강좌",장애인,"한국 장애인 고용공단",상시
42,"기초 PYTHON 프로그래밍",장애인,"한국 장애인 고용공단",상시
43,SNS마케팅,장애인,"한국 장애인 고용공단",상시
44,"After Effects CC2019 입문 Part.1",장애인,"한국 장애인 고용공단",상시
45,"한글 2010 완전정복",장애인,"한국 장애인 고용공단",상시
46,"파워포인터 2013",장애인,"한국 장애인 고용공단",상시
47,"엑셀 매크로 VBA",장애인,"한국 장애인 고용공단",상시
48,"실무에서 사용하는 엑셀예제",장애인,"한국 장애인 고용공단",상시
49,"MIT 앱 개발 제대로 배우기2",장애인,"한국 장애인 고용공단",상시
50,"MIT 앱 개발 제대로 배우기1",장애인,"한국 장애인 고용공단",상시
